,game_name,release_date,original_price($),discount_price($),steam_rating
231,Stick Fight: The Game,"28 Sep, 2017",5.49,,90.97%
232,BIGFOOT,Jan 2017,18.49,,72.66%
233,Victory Road,"10 Mar, 2020",22.79,,84.98%
234,Heat,"25 Jun, 2020",22.79,,50.69%
235,Mark of the Ninja: Remastered,"9 Oct, 2018",22.79,,91.98%
236,CrossCode,"21 Sep, 2018",21.99,17.59,91.91%
237,Portal Knights,"18 May, 2017",21.99,8.79,80.69%
238,Eastside Hockey Manager,"1 Dec, 2015",21.99,,80.71%
239,Portal 2,"19 Apr, 2011",11.49,,97.54%
240,Golf With Your Friends,"19 May, 2020",17.49,,87.83%
241,Galaxy Trucker: Extended Edition,"7 Mar, 2019",11.49,,85.61%
242,Travellers Rest,"28 Jul, 2020",17.49,,88.07%
243,Insurgency: Sandstorm,"12 Dec, 2018",37.49,,80.84%
244,Downward Spiral: Horus Station,"31 May, 2018",22.79,,70.46%
245,Baba Is You,"13 Mar, 2019",17.49,,95.34%
246,Autonauts,"17 Oct, 2019",22.79,,86.75%
247,Don't Starve Together,"21 Apr, 2016",16.99,,95.15%
248,Titanfall® 2,"18 Jun, 2020",39.99,,93.40%
249,Jenny LeClue - Detectivu,"19 Sep, 2019",24.99,18.74,83.40%
250,Democracy 3,"14 Oct, 2013",27.99,,72.89%
251,Counter-Strike: Source,"1 Nov, 2004",11.49,,94.63%
252,Ys Origin,"31 May, 2012",21.99,,90.42%
253,Danganronpa V3: Killing Harmony,"26 Sep, 2017",45.49,,83.01%
254,Cows VS Vikings,"6 Dec, 2018",10.29,,84.73%
255,Landlord's Super,"30 Apr, 2020",22.79,20.51,81.88%
256,Paint the Town Red,"13 Oct, 2015",17.49,,90.80%
257,Barotrauma,"5 Jun, 2019",38.99,,87.02%
258,LEGO® City Undercover,"4 Apr, 2017",29.99,7.49,78.85%
259,Mist Survival,"15 Aug, 2018",12.49,,79.72%
260,Rebel Inc: Escalation,"15 Oct, 2019",17.49,,78.68%
261,"Football, Tactics & Glory","1 Jun, 2018",28.99,17.39,87.37%
262,Barony,"23 Jun, 2015",17.49,,87.50%
263,NEKOPARA Vol. 2,"19 Feb, 2016",10.99,,94.45%
264,NEKOPARA Vol. 3,"25 May, 2017",10.99,,94.33%
265,The LEGO® NINJAGO® Movie Video Game,"22 Sep, 2017",29.99,14.99,82.21%
266,Forts,"19 Apr, 2017",16.99,,85.42%
267,Subsistence,"25 Oct, 2016",14.99,,71.67%
268,Mutazione,"19 Sep, 2019",22.79,15.95,88.78%
